Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
64MB,1TB,,Western Digital,"Western Digital Caviar Blue 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.050,"[49.66, 49.69, 49.99, 49.99, 49.99, 49.99, 53.79, 55.99, 49.99, 59.75, 59.99, 54.99]",7200,No,Q1 2011
64MB,2TB,,Western Digital,"Western Digital BLACK SERIES 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.058,"[116.99, 117.99, 124.99, 125.89, 126.99, 132.99, 137.99, 139.99, 151.99]",7200,No,Q2 2002
64MB,2TB,8GB,Seagate,"Seagate FireCuda 2TB 3.5"" 7200RPM Hybrid Internal Hard Drive",,$0.050,"[99.99, 104.89, 104.99, 99.99, 109.99, 104.99, 119.99, 119.99]",7200,No,Q2 2012
N/A,90GB,,Corsair,"Corsair Force Series 3 90GB 2.5"" Solid State Drive",,$1.33,[119.99],,Yes,Q4 2006
64MB,2TB,,Seagate,"Seagate Constellation ES.2 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.070,[139.29],7200,No,Q4 2008
8MB,320GB,,Western Digital,"Western Digital AV 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.26,[82.68],7200,No,Q3 2003
N/A,180GB,,Intel,Intel 530 Series 180GB M.2-2280 Solid State Drive,,$0.50,[89.99],,Yes,Q1 2014
64MB,1TB,,Seagate,"Seagate Constellation ES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.094,[93.99],7200,No,Q1 2003
N/A,120GB,,Corsair,"Corsair Force Series 3 120GB 2.5"" Solid State Drive",,$1.29,[154.99],,Yes,Q3 2015
N/A,240GB,,Corsair,"Corsair Force Series 3 240GB 2.5"" Solid State Drive",,$1.10,[264.99],,Yes,Q2 2007
N/A,90GB,,OCZ,"OCZ Vertex 2 90GB 2.5"" Solid State Drive",,$1.54,[129.99],,Yes,Q3 2009
N/A,192GB,,Transcend,"Transcend Transcend MLC 192GB 2.5"" Solid State Drive",,$2.69,[517.23],,Yes,Q3 2007
64MB,300GB,,Hitachi,"Hitachi Ultrastar C10K900 300GB 2.5"" 10000RPM Internal Hard Drive",,$0.58,[166.25],10000,No,Q1 2000
16MB,500GB,,Hitachi,"Hitachi Travelstar 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.12,[52.99],7200,No,Q3 2001
8MB,250GB,,Seagate,"Seagate 250GB 2.5"" 5400RPM Internal Hard Drive",,$0.20,[42.75],5400,No,Q1 2013
128MB,3TB,,Seagate,"Seagate Constellation<br/>Product Series:ES.3 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.063,[188.91],7200,No,Q4 2008
8MB,750GB,,Toshiba,"Toshiba 750GB 2.5"" 5400RPM Internal Hard Drive",,$0.13,[93.89],5400,No,Q3 2002
256MB,256GB,,Plextor,"Plextor M6V 256GB 2.5"" Solid State Drive",,$0.47,[119.99],,Yes,Q4 2006
N/A,32GB,,Corsair,"Corsair Nova 32GB 2.5"" Solid State Drive",,$3.28,[104.99],,Yes,Q3 2006
N/A,256GB,,Crucial,"Crucial RealSSD C300 256GB 2.5"" Solid State Drive",,$0.85,[207.77],,Yes,Q1 2008
N/A,480GB,,Corsair,"Corsair Force Series 3 480GB 2.5"" Solid State Drive",,$0.48,"[229.99, 479.99]",,Yes,Q1 2015
8MB,500GB,,Western Digital,"Western Digital AV 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.090,"[35.99, 188.89]",7200,No,Q4 2008
N/A,160GB,,Corsair,"Corsair Force 160GB 2.5"" Solid State Drive",,$3.54,[567.04],,Yes,Q1 2008
32MB,1TB,,Seagate,"Seagate Barracuda LP 1TB 3.5"" 5900RPM Internal Hard Drive",,$0.13,[129.99],5900,No,Q2 2000
N/A,60GB,,Corsair,"Corsair Force 60GB 2.5"" Solid State Drive",,$2.75,[164.99],,Yes,Q3 2010
N/A,64GB,,Crucial,Crucial M4 64GB mSATA Solid State Drive,,$1.45,"[92.79, 227.77]",,Yes,Q3 2007
N/A,240GB,,Corsair,"Corsair Force 240GB 2.5"" Solid State Drive",,$3.02,[724.99],,Yes,Q1 2008
N/A,64GB,,Corsair,"Corsair Neutron Series 64GB 2.5"" Solid State Drive",,$1.56,[99.99],,Yes,Q2 2002
N/A,64GB,,Corsair,"Corsair Performance 3 Series 64GB 2.5"" Solid State Drive",,$2.89,[184.99],,Yes,Q2 2004
N/A,256GB,,Corsair,"Corsair Performance 3 Series 256GB 2.5"" Solid State Drive",,$2.21,[564.99],,Yes,Q2 2009
N/A,128GB,,Corsair,"Corsair Performance 3 Series 128GB 2.5"" Solid State Drive",,$2.15,[274.99],,Yes,Q2 2000
N/A,240GB,,Corsair,"Corsair Neutron Series 240GB 2.5"" Solid State Drive",,$1.04,[249.99],,Yes,Q4 2006
N/A,240GB,,Corsair,"Corsair Neutron Series GTX 240GB 2.5"" Solid State Drive",,$1.12,[269.99],,Yes,Q3 2015
8MB,320GB,,Toshiba,"Toshiba 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.22,"[69.48, 69.0]",5400,No,Q1 2006
N/A,60GB,,Corsair,"Corsair Force Series 60GB 2.5"" Solid State Drive",,$2.17,[129.99],,Yes,Q4 2012
16MB,2TB,,Seagate,"Seagate Constellation ES 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.067,"[133.99, 201.11]",7200,No,Q1 2011
N/A,180GB,,Corsair,"Corsair Force 180GB 2.5"" Solid State Drive",,$2.42,[434.99],,Yes,Q3 2001
N/A,240GB,,Corsair,"Corsair Force 240GB 2.5"" Solid State Drive",,$1.48,[354.99],,Yes,Q4 2006
N/A,80GB,,Mushkin,"Mushkin Callisto DX2 Series 80GB 2.5"" Solid State Drive",,$2.08,[166.59],,Yes,Q3 2012
N/A,240GB,,Mushkin,"Mushkin Callisto DX2 Series 240GB 2.5"" Solid State Drive",,$1.24,[297.9],,Yes,Q4 2012
N/A,64GB,,Patriot,"Patriot Torqx 2 64GB 2.5"" Solid State Drive",,$2.43,[155.45],,Yes,Q4 2005
16MB,750GB,,Western Digital,"Western Digital 750GB 2.5"" 5400RPM Internal Hard Drive",,$0.084,"[63.32, 64.99, 69.99]",5400,No,Q2 2001
N/A,120GB,,Intel,"Intel 520 Series Cherryville 120GB 2.5"" Solid State Drive",,$1.74,[199.99],,Yes,Q2 2006
N/A,240GB,,OCZ,"OCZ Vertex 3 240GB 2.5"" Solid State Drive",,$1.03,[239.97],,Yes,Q4 2007
N/A,40GB,,Corsair,"Corsair Force 40GB 2.5"" Solid State Drive",,$2.50,[99.99],,Yes,Q2 2006
N/A,90GB,,Corsair,"Corsair Force Series GT 90GB 2.5"" Solid State Drive",,$1.33,[119.99],,Yes,Q4 2012
16MB,160GB,,Toshiba,"Toshiba 160GB 2.5"" 7200RPM Internal Hard Drive",,$0.45,"[71.66, 74.99]",7200,No,Q3 2004
64MB,1TB,,Western Digital,"Western Digital BLACK SERIES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.074,"[73.88, 73.99, 74.0, 74.99, 76.99, 77.8, 88.99, 88.99]",7200,No,Q3 2009
64MB,1TB,,Toshiba,"Toshiba 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.14,"[131.25, 144.99]",7200,No,Q1 2003
8MB,320GB,,Seagate,"Seagate Momentus 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.19,[59.79],5400,No,Q4 2004
N/A,240GB,,Mushkin,Mushkin Atlas 240GB mSATA Solid State Drive,,$1.03,[246.95],,Yes,Q4 2002
