CAS Latency,ECC,Heat Spreader,Manufacturer,Name,Price/GB,Prices,Size,Speed,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed
9,No,Yes,Corsair,Corsair Vengeance 16GB (2 x 8GB) DDR3-1866 Memory,$6.43,"[102.88, 103.52, 112.99, 139.99, 161.09]",16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
11,Yes,No,Kingston,Kingston 16GB (1 x 16GB) Registered DDR3-1600 Memory,$9.41,[150.49],16GB (1 x 16GB),DDR3-1600,False,1600.0,,1600
11,Yes,No,Kingston,Kingston 4GB (1 x 4GB) Registered DDR3-1600 Memory,$8.25,"[32.99, 29.98]",4GB (1 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Corsair,Corsair XMS3 4GB (2 x 2GB) DDR3-1600 Memory,$13.75,[54.99],4GB (2 x 2GB),DDR3-1600,False,1600.0,,1600
7,No,No,Mushkin,Mushkin 2GB (1 x 2GB) DDR3-1066 Memory,$10.99,[21.99],2GB (1 x 2GB),DDR3-1066,False,1066.0,,1066
9,No,Yes,Corsair,Corsair XMS3 4GB (2 x 2GB) DDR3-1333 Memory,$11.25,[44.99],4GB (2 x 2GB),DDR3-1333,False,1333.0,,1333
8,No,Yes,Corsair,Corsair Dominator GT 4GB (2 x 2GB) DDR3-2000 Memory,$38.75,[154.99],4GB (2 x 2GB),DDR3-2000,False,2000.0,,2000
9,No,Yes,Corsair,Corsair Vengeance Pro 16GB (4 x 4GB) DDR3-2400 Memory,$18.75,[299.99],16GB (4 x 4GB),DDR3-2400,False,2400.0,,2400
9,No,No,G.Skill,G.Skill 2GB (1 x 2GB) DDR3-1333 Memory,$8.49,"[15.99, 20.97]",2GB (1 x 2GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Kingston,Kingston Predator Series 16GB (4 x 4GB) DDR3-1866 Memory,$15.01,[240.21],16GB (4 x 4GB),DDR3-1866,False,1866.0,,1866
9,No,Yes,Corsair,Corsair XMS 6GB (3 x 2GB) DDR3-2000 Memory,$31.73,[190.36],6GB (3 x 2GB),DDR3-2000,False,2000.0,,2000
9,No,No,Wintec,Wintec Value 2GB (1 x 2GB) DDR3-1333 Memory,$14.03,[19.99],2GB (1 x 2GB),DDR3-1333,False,1333.0,,1333
9,Yes,No,Kingston,Kingston 8GB (1 x 8GB) Registered DDR3-1333 Memory,$12.36,[98.85],8GB (1 x 8GB),DDR3-1333,False,1333.0,,1333
11,No,Yes,Corsair,Corsair Vengeance Pro 8GB (2 x 4GB) DDR3-2666 Memory,$23.12,[184.99],8GB (2 x 4GB),DDR3-2666,False,2666.0,,2666
9,No,Yes,Corsair,Corsair XMS3 2GB (2 x 1GB) DDR3-1333 Memory,$27.50,[54.99],2GB (2 x 1GB),DDR3-1333,False,1333.0,,1333
10,No,Yes,G.Skill,G.Skill Ripjaws Z Series 32GB (4 x 8GB) DDR3-1866 Memory,$5.72,"[182.99, 187.97]",32GB (4 x 8GB),DDR3-1866,False,1866.0,,1866
9,Yes,No,Wintec,Wintec 4GB (1 x 4GB) Registered DDR3-1333 Memory,$14.00,[55.99],4GB (1 x 4GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Mushkin,Mushkin Blackline 32GB (4 x 8GB) DDR3-1600 Memory,$6.25,"[199.88, 219.98]",32GB (4 x 8GB),DDR3-1600,False,1600.0,,1600
