CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1150,Intel B85,No,Micro ATX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock B85M-HDS Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[63.99, 90.85]",No,No
LGA1150,Intel C224,No,Mini ITX,ASRock,16GB,DDR3-1333 / 1600,ASRock E3C224D2I Mini ITX LGA1150 Motherboard,3 x 10/100/1000 Mbps,Yes,Yes,"[192.99, 193.99, 193.99]",Yes,No
LGA1151,Intel H170,No,Micro ATX,MSI,32GB,DDR4-2133,MSI H170M ECO Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[94.27],No,No
LGA1151,Intel C236,No,Micro ATX,Asus,64GB,DDR4-2133,Asus P10S-M WS Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,"[199.99, 199.99, 203.99]",Yes,No
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270P-D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[108.99],Yes,No
LGA1151,Intel C232,No,Micro ATX,Supermicro,64GB,DDR4-1600 / 1866 / 2133,Supermicro MBD-X11SSL-F-O Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,"[196.25, 189.0]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000,Asus X99-DELUXE/U3.1 ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,[462.49],Yes,3-way SLI
LGA1151,Intel C236,Yes,Micro ATX,MSI,64GB,DDR4-2133,MSI C236M WORKSTATION Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.99, 149.99, 150.27, 152.99, 149.99, 166.68]",Yes,No
LGA1156,Intel P55,No,Micro ATX,Intel,16GB,DDR3-1066 / 1333,Intel DP55WB Micro ATX LGA1156 Motherboard,1 x 10/100/1000 Mbps,No,No,[132.43],Yes,No
LGA2011-3 Narrow,Intel C612,No,Micro ATX,Supermicro,512GB,DDR4-1600 / 1866 / 2133 / 2400,Supermicro X10SRM-TF Micro ATX LGA2011-3 Narrow Motherboard,2 x 100 Mbps/1 Gbps/10 Gbps,Yes,Yes,"[349.99, 383.0]",Yes,No
LGA1151,Intel Z170,No,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3866,ASRock Z170 Extreme6 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[171.88, 171.99, 189.84, 189.94, 203.99]",Yes,No
LGA1155,Intel H55,No,ATX,Intel,32GB,DDR3-1333 / 1600,Intel DZ77BH55K ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[171.74, 179.99]",Yes,No
LGA1150,Intel C222,No,Micro ATX,Supermicro,32GB,DDR3-1600,Supermicro X10SL7-F Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,[239.99],Yes,No
LGA1155,Intel H77,No,Micro ATX,Intel,32GB,DDR3-1066 / 1333 / 1600,Intel DH77EB Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[119.99],No,No
LGA1151,Intel C236,No,ATX,Asus,64GB,DDR4-2133,Asus P10S-E/4L ATX LGA1151 Motherboard,4 x 10/100/1000 Mbps,Yes,Yes,"[289.0, 291.99]",Yes,No
LGA1151,Intel C232,No,Micro ATX,Asus,64GB,DDR4-2133,Asus P10S-M Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,"[199.99, 199.99, 204.99, 214.4, 214.4]",Yes,No
LGA1151,Intel Z270,Yes,ATX,Biostar,64GB,DDR4-1866 / 2133 / 2400 / 3200,Biostar Z270GT6 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[189.99],Yes,No
LGA1151,Intel Q170,No,Micro ATX,Asus,64GB,DDR4-2133,Asus Q170M-C/CSM Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[122.99, 133.76, 128.65]",Yes,No
LGA1150,Intel C226,No,Micro ATX,ASRock,32GB,DDR3-1333 / 1600,ASRock C226M WS Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.99, 179.99, 179.99]",Yes,No
LGA1150,Intel B85,Yes,Micro ATX,ECS,32GB,DDR3-1333 / 1600,ECS B85H3-M(1.0) Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[54.99],No,No
LGA2011-3,Intel X99,Yes,ATX,ASRock,128GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200,ASRock Fatal1ty X99X Killer/3.1 ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[259.99, 299.99]",Yes,3-way SLI
LGA1150,Intel Q87,Yes,Micro ATX,Asus,32GB,DDR3-1066 / 1333 / 1600,Asus Q87M-E/CSM Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[125.99, 142.94]",No,No
LGA1150,Intel Z97,No,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2800 / 2933,ASRock Z97 PRO3 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[126.99, 199.88]",Yes,No
